SMILES,pIC50,molecule_id
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(CC)c2)c1,8.7,CHEMBL397275
N/C(=N/C(=O)Cn1c(-c2ccccc2)ccc1C12CC3CC(CC(C3)C1)C2)NCCc1ccsc1,6.25,CHEMBL404020
O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O,6.12,CHEMBL206442
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cncc(C#N)c2)cc(N2CCCCS2(=O)=O)c1,7.4,CHEMBL502289
Cc1cc2c(C(=O)N[C@H](C)c3ccccc3)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNC3CC3)cc2o1,6.28,CHEMBL514310
CCc1c[nH]c2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(C(F)(F)F)c3)cc12,7.58,CHEMBL447220
O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2cccs2)C1,6.52,CHEMBL402754
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1,7.23,CHEMBL572081
O=C(Nc1cc(-c2ccccc2)ccc1N1CCNCC1)c1cc2ccccc2oc1=O,6.24,CHEMBL1164612
O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccco2)C1,6.65,CHEMBL404682
CN(c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(=O)C2CCCCC2)c1)S(C)(=O)=O,6.35,CHEMBL202057
C#C[C@H]1CCc2cccc(c2)C[C@@](C)(N)COCc2cc(cc(N(CCC)S(C)(=O)=O)c2)C(=O)N1,7.28,CHEMBL248876
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(CC(C)C)C2=O)c1,5.7,CHEMBL507330
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CCCCC2)cc(N2CCCCS2(=O)=O)c1.O=CO,7.12,CHEMBL454420
CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)CCCC(C)C)cc(N2CCCC2=O)c1,6.64,CHEMBL252458
CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(c3ccccc3)CCN2)c1,5.0,CHEMBL510737
